Fort Name,Latitude,Longitude,Region
Sinhagad Fort,18.3663,73.7559,Pune
Sindhudurg Fort,16.0354,73.4627,Sindhudurg
Vishalgad Fort,16.8900,73.8050,Kolhapur
Murud Janjira Fort,18.2980,72.9649,Raigad
Lohagad Fort,18.7056,73.4800,Pune
Tung Fort,18.6601,73.4338,Pune
Raigad Fort,18.2347,73.4464,Raigad
Rajgad Fort,18.2464,73.6822,Pune
Torna Fort,18.2709,73.6214,Pune
Pratapgad Fort,17.9252,73.5786,Satara
Shivneri Fort,19.1989,73.8617,Pune
Panhala Fort,16.8122,74.1086,Kolhapur
Harishchandragad Fort,19.3905,73.7788,Ahmednagar
Daulatabad Fort,19.9442,75.2135,Aurangabad
Purandar Fort,18.2831,73.9749,Pune
Vijaydurg Fort,16.5599,73.3323,Sindhudurg
Rajmachi Fort,18.8285,73.3986,Pune
Ajinkyatara Fort,17.6749,73.9871,Satara
Suvarnadurg Fort,17.8188,73.0841,Ratnagiri
Tikona Fort,18.6346,73.5134,Pune
Vasota Fort,17.6593,73.6709,Satara
Salher Fort,20.7302,73.9317,Nashik
Korigad Fort,18.6231,73.3888,Pune
Mahuli Fort,19.4623,73.2384,Thane
Ghangad Fort,18.5284,73.3421,Pune
Kulaba Fort,18.6360,72.8624,Raigad
Visapur Fort,18.7212,73.4912,Pune
Rohida Fort,18.1065,73.8181,Satara
Prabalgad Fort,18.9669,73.2268,Raigad
Ratangad Fort,19.5085,73.7226,Ahmednagar
Harihar Fort,19.9079,73.4729,Nashik
Karnala Fort,18.8845,73.1118,Raigad
Jivdhan Fort,19.2891,73.7554,Pune
Korlai Fort,18.5381,72.9099,Raigad
Chavand Fort,19.2312,73.7845,Pune
Mulher Fort,20.7681,73.9472,Nashik
Kalsubai Peak,19.6015,73.7051,Ahmednagar
Malhargad Fort,18.4239,74.0305,Pune
Pandavgad Fort,18.0050,73.9515,Satara
Hadsar Fort,19.2612,73.8016,Pune
Bhairavgad Fort,19.3872,73.7380,Thane
Mangi-Tungi,20.8529,74.1578,Nashik
Anjaneri Fort,19.9324,73.5714,Nashik
Sudhagad Fort,18.4988,73.3150,Raigad
Avchitgad Fort,18.4419,73.1311,Raigad
Kamalgad Fort,17.9545,73.7556,Satara
Naldurg Fort,17.8130,76.2970,Osmanabad
Paranda Fort,18.2616,75.4385,Osmanabad
Gharapuri (Elephanta),18.9633,72.9315,Mumbai
Rangana Fort,16.0792,73.8236,Kolhapur
Kalavantin Durg,18.9654,73.2227,Raigad
Songad Fort,18.0583,73.5350,Ratnagiri
Bhushangad,17.3879,74.3435,Satara
Chandangad,17.8427,74.0863,Satara
Pavangad Fort,16.7118,74.1950,Kolhapur
Bhorgiri Fort,19.0436,73.5513,Pune
Solapur Bhuikot Fort,17.6710,75.9100,Solapur
Arnala Fort,19.4673,72.7303,Palghar
Kelve Fort,19.6200,72.7371,Palghar
Underi Fort,18.7042,72.8596,Raigad
Revdanda Fort,18.5448,72.9287,Raigad
Bankot Fort,17.9715,73.0336,Ratnagiri
Jaigad Fort,17.2917,73.2241,Ratnagiri
Achala Fort,20.4439,73.8340,Nashik
Markandey Fort,20.3951,73.9317,Nashik
Hatgad Fort,20.5515,73.7667,Nashik
Laling Fort,20.8350,74.7570,Dhule
Toranmal Hill Station,21.8795,74.4604,Nandurbar
Kanhergarh,20.4770,73.9388,Nashik
Pisolgad,20.5283,74.0534,Nashik
Ausa Fort,18.2435,76.5165,Latur
Kandhar Fort,18.8876,77.1932,Nanded
Dharur Fort,18.8228,76.1039,Beed
Ambad Fort,19.6171,75.7871,Jalna
Udgir Fort,18.3941,77.1166,Latur
Parbhani Fort,19.2644,76.7766,Parbhani
Mahur Fort,19.8224,77.9620,Nanded
Antur Fort,20.4347,75.1278,Aurangabad
Waghala Fort,18.5991,77.3061,Nanded
Rohilagad,19.6580,75.6322,Jalna
Sitabuldi Fort,21.1477,79.0837,Nagpur
Gawilgad Fort,21.3653,77.3005,Amravati
Narnala Fort,21.2464,77.0189,Akola
Balapur Fort,20.6698,76.7725,Akola
Manikgad Fort,19.7891,79.2062,Chandrapur
Achalpur Fort,21.2589,77.5186,Amravati
Bhamragad Fort,19.2559,80.3547,Gadchiroli
Sindkhed Raja Fort,19.9576,76.1262,Buldhana
